,Unnamed: 0,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
60064,413677,34900,2015.0,chevrolet,silverado,excellent,8 cylinders,gas,94990.0,clean,automatic,4wd,full-size,truck,white
60068,413684,3750,2006.0,ford,taurus,excellent,6 cylinders,gas,395000.0,clean,automatic,fwd,mid-size,sedan,blue
60074,413705,24900,2014.0,ford,f-150,like new,6 cylinders,gas,68078.0,clean,automatic,4wd,full-size,pickup,blue
60076,413720,4500,2005.0,jeep,grand cherokee,fair,6 cylinders,gas,203000.0,clean,automatic,4wd,full-size,SUV,white
60077,413725,4300,2000.0,subaru,outback,good,4 cylinders,gas,156000.0,clean,automatic,4wd,compact,wagon,green
60081,413763,6990,2010.0,dodge,charger,excellent,6 cylinders,gas,136206.0,clean,automatic,rwd,compact,sedan,grey
60088,413801,10497,2016.0,ford,focus,excellent,4 cylinders,gas,46038.0,clean,automatic,fwd,compact,sedan,red
60090,413812,4500,2009.0,toyota,corolla,good,4 cylinders,gas,214906.0,clean,automatic,fwd,compact,sedan,blue
60095,413828,10000,2015.0,jeep,patriot,good,4 cylinders,gas,88141.0,clean,automatic,fwd,mid-size,SUV,grey
60096,413832,7950,2009.0,toyota,camry le,excellent,4 cylinders,gas,153650.0,clean,automatic,fwd,full-size,sedan,silver
60099,413869,22490,2016.0,dodge,grand caravan,like new,6 cylinders,gas,5000.0,rebuilt,automatic,fwd,full-size,mini-van,white
60104,413890,11200,2017.0,kia,soul,like new,4 cylinders,gas,85600.0,clean,automatic,fwd,mid-size,wagon,silver
60107,413897,12995,2017.0,volkswagen,jetta,excellent,4 cylinders,gas,39728.0,clean,automatic,fwd,compact,sedan,white
60111,413911,12500,2018.0,toyota,corolla le,excellent,4 cylinders,gas,76121.0,clean,automatic,fwd,compact,sedan,red
60117,413943,6995,2011.0,chevrolet,impala lt,excellent,6 cylinders,gas,127509.0,clean,automatic,fwd,full-size,sedan,silver
60121,413957,75900,2020.0,cadillac,escalade,excellent,8 cylinders,gas,8732.0,clean,automatic,4wd,full-size,SUV,white
60127,414003,8990,2015.0,hyundai,elantra,excellent,4 cylinders,gas,107426.0,clean,automatic,fwd,mid-size,sedan,black
60128,414004,11990,2011.0,honda,pilot,excellent,6 cylinders,gas,105311.0,clean,automatic,fwd,full-size,SUV,blue
60130,414008,6995,2011.0,chevrolet,impala lt,excellent,6 cylinders,gas,116363.0,clean,automatic,fwd,full-size,sedan,red
60133,414011,5995,2011.0,ford,fusion se,excellent,4 cylinders,gas,150785.0,clean,automatic,fwd,mid-size,sedan,blue
60141,414082,22900,2015.0,chevrolet,silverado,excellent,6 cylinders,gas,36973.0,rebuilt,automatic,4wd,full-size,pickup,silver
60142,414100,28900,2017.0,gmc,sierra,excellent,8 cylinders,gas,11685.0,rebuilt,automatic,4wd,full-size,truck,blue
60147,414115,34990,2013.0,ford,f-550,good,8 cylinders,diesel,52065.0,clean,automatic,rwd,full-size,truck,white
60148,414116,22990,2008.0,ford,f-350 sd,good,8 cylinders,gas,48474.0,clean,automatic,rwd,full-size,truck,white
60150,414123,11900,2012.0,chevrolet,silverado,excellent,8 cylinders,gas,88681.0,rebuilt,automatic,4wd,mid-size,pickup,white
60155,414143,5700,2012.0,chevrolet,cruze,excellent,4 cylinders,gas,105000.0,clean,automatic,fwd,compact,sedan,black
60158,414186,6995,2007.0,ford,explorer,excellent,6 cylinders,gas,153153.0,clean,automatic,rwd,full-size,SUV,grey
60164,414265,11300,2017.0,ford,focus se,excellent,4 cylinders,gas,64.0,clean,automatic,fwd,full-size,sedan,black
60166,414280,15990,2008.0,ford,f-350 sd,good,8 cylinders,gas,143633.0,clean,automatic,rwd,full-size,truck,white
60167,414281,15990,2012.0,ford,econoline,good,8 cylinders,gas,67820.0,clean,automatic,rwd,full-size,truck,white
60169,414300,9395,2006.0,chevrolet,silverado,good,8 cylinders,gas,155000.0,clean,automatic,4wd,full-size,truck,blue
60172,414315,5250,2013.0,chrysler,200,good,6 cylinders,gas,164000.0,clean,automatic,fwd,full-size,sedan,silver
60174,414329,9500,2008.0,gmc,sierra 2500hd,good,8 cylinders,diesel,283000.0,clean,automatic,4wd,full-size,pickup,white
60180,414364,16950,2017.0,ford,escape,excellent,4 cylinders,gas,69700.0,clean,automatic,fwd,mid-size,SUV,black
60183,414378,9000,2015.0,kia,soul,excellent,4 cylinders,gas,97001.0,clean,automatic,fwd,compact,SUV,brown
